  0.0  0.1  0.2  0.3 
1.0600e+01 7.3031e+00 5.3021e+00 3.9543e+00 3.0162e+00 
1.0700e+01 7.2915e+00 5.2944e+00 3.9490e+00 3.0125e+00 
1.0800e+01 7.2799e+00 5.2867e+00 3.9437e+00 3.0088e+00 
1.0900e+01 7.2684e+00 5.2790e+00 3.9384e+00 3.0052e+00 
1.1000e+01 7.2572e+00 5.2715e+00 3.9332e+00 3.0015e+00 
1.1100e+01 7.2460e+00 5.2640e+00 3.9280e+00 2.9979e+00 
1.1200e+01 7.2348e+00 5.2564e+00 3.9228e+00 2.9942e+00 
1.1300e+01 7.2236e+00 5.2489e+00 3.9176e+00 2.9906e+00 
1.1400e+01 7.2123e+00 5.2414e+00 3.9124e+00 2.9869e+00 
1.1500e+01 7.2012e+00 5.2339e+00 3.9072e+00 2.9833e+00 
1.1600e+01 7.1903e+00 5.2266e+00 3.9021e+00 2.9797e+00 
1.1700e+01 7.1795e+00 5.2193e+00 3.8970e+00 2.9761e+00 
1.1800e+01 7.1687e+00 5.2119e+00 3.8919e+00 2.9725e+00 
1.1900e+01 7.1579e+00 5.2046e+00 3.8868e+00 2.9689e+00 
1.2000e+01 7.1471e+00 5.1973e+00 3.8817e+00 2.9653e+00 
1.2100e+01 7.1363e+00 5.1900e+00 3.8766e+00 2.9617e+00 
1.2200e+01 7.1256e+00 5.1828e+00 3.8716e+00 2.9582e+00 
1.2300e+01 7.1152e+00 5.1757e+00 3.8667e+00 2.9546e+00 
1.2400e+01 7.1048e+00 5.1687e+00 3.8617e+00 2.9511e+00 
1.2500e+01 7.0944e+00 5.1616e+00 3.8568e+00 2.9476e+00 
1.2600e+01 7.0840e+00 5.1545e+00 3.8518e+00 2.9441e+00 
1.2700e+01 7.0736e+00 5.1474e+00 3.8469e+00 2.9405e+00 
1.2800e+01 7.0632e+00 5.1404e+00 3.8419e+00 2.9370e+00 
1.2900e+01 7.0522e+00 5.1328e+00 3.8366e+00 2.9332e+00 
